slug,name,image,theme,winner
trackmania2,Trackmania (Week 2),trackmania.png,cod,Northernlion
trackmania,Trackmania (Week 1),trackmania.png,cod,Northernlion
clubgames,Clubhouse Games,clubhousegames.png,cod,Michael Al Fox
golfclub2,The Golf Club 2019 (Week 2),golfclub.png,cod,Michael Al Fox
golfclub,The Golf Club 2019 (Week 1),golfclub.png,cod,Michael Al Fox
cod3,COD: Warzone (Week 3),cod-logo.png,cod,Michael Al Fox
smbb2,Super Mega Baseball 3 (Week 2),smb.png,smb,Northernlion
smbb,Super Mega Baseball 3 (Week 1),smb.png,smb,Northernlion
golf2,Golf With Your Friends (Week 2),golf.png,golf,Michael Al Fox
cod2,COD: Warzone (Week 2),cod-logo.png,cod,Michael Al Fox
cod,COD: Warzone (Week 1),cod-logo.png,cod,Michael Al Fox
nes2,NES Classics (Week 2),nintendo-logo.png,nintendo,Dan Gheesling
smm2,Super Mario Maker 2,mario.png,mario,Northernlion
guts,Guts and Glory,guts.png,guts,Dan Gheesling
golf,Golf With Your Friends (Week 1),golf.png,golf,Michael Al Fox
escape,Escape Rooms,escape-logo.png,escape,Michael Al Fox
hitman2,Hitman 2 (Week 2),hitman2-logo2.png,hitman2,Michael Al Fox
snes,SNES Classics,snes-logo.png,snes,Northernlion
nes,NES Classics (Week 1),nintendo-logo7.png,nintendo,Dan Gheesling
sega,SEGA Classics,sega-logo7.png,sega,Dan Gheesling
spire,Slay the Spire,spire-logo2.png,spire,Northernlion
hitman,Hitman 2 (Week 1),hitman2-logo.png,hitman,Michael Al Fox
tarkov,Escape from Tarkov,tarkov_logo.png,tarkov,Michael Al Fox
spelunky,Spelunky,spelunky_logo.gif,spelunky,Northernlion
